pid,last_retrive,likenum,reply,text,time,type
5138956,2023-06-08 13:29:14,0,1,5138712感觉一些选题就是现在很常见的讨论话题,2023-06-07 13:25:24,text
5138957,2023-06-08 13:29:14,0,1,原来拔牙以后为什么运动会出血,2023-06-07 13:25:25,text
5138958,2023-06-08 13:29:14,1,3,4000字读书报告一个月前写了1500，明晚要交，完全写不动,2023-06-07 13:25:28,text
5138959,2023-06-08 13:29:14,2,5,虽然被他家暴过，肋骨被他踹断过，被他用酒瓶子打进过医院，但是我还是相信他还是爱我的，不然他怎么光打我不打别人,2023-06-07 13:25:35,text
5138960,2023-06-08 13:29:14,2,1,外面的云很好看,2023-06-07 13:25:57,text
5138961,2023-06-08 13:29:14,2,2,不想和心眼子多 利己主义非常强的人玩,2023-06-07 13:26:34,text
5138962,2023-06-08 13:29:14,7,7,,2023-06-07 13:26:34,image
5138963,2023-06-08 13:29:14,4,29,来贵校念了研究生候感觉上的课的质量很多还不如我本科那里的，好几个老师上课就念书，其中夸张的书都念不明白，书上错，也就念错了。我本科虽然也就是个普通985但是这样的老师还是没见过的。可见学校专业排名和教学水平没有必然联系,2023-06-07 13:27:16,text
5138964,2023-06-08 13:29:14,2,1,现在去校医院能看上急诊吗😢腿疼,2023-06-07 13:27:54,text
5138965,2023-06-08 13:29:14,7,10,"古汉的期中和单元练习一
寄了寄了寄完了",2023-06-07 13:27:54,text
5138966,2023-06-08 13:29:14,4,5,"音乐概论这次小测好难啊
我太菜了😭",2023-06-07 13:27:59,text
5138967,2023-06-08 13:29:14,1,0,碧蓝之海：伟大的巨匠井上坚二老师正在创造不朽的篇章🤩,2023-06-07 13:28:03,text
5138968,2023-06-08 13:29:14,1,1,我真的会想死,2023-06-07 13:28:31,text
5138969,2023-06-08 13:29:14,3,1,对国家和政府的无限支持，是每个中国人的出厂设定,2023-06-07 13:28:35,text
5138970,2023-06-08 13:29:14,2,1,♂找♂，一起看去话剧www，求票搭子,2023-06-07 13:28:42,text
5138971,2023-06-08 13:28:59,6,1,"西江月·证明
即得易见平凡，仿照上例显然。
留作习题答略，读者自证不难。
反之亦然同理，推论自然成立，
略去过程QED，由上可知证毕。",2023-06-07 13:28:58,text
5138972,2023-06-08 13:28:59,2,3,有谁捡到白色的华为蓝牙耳机吗呜呜，求求了，早上上课还在回来就不见了，好心人捡到请跟我说一下，已经是第三个了呜呜呜,2023-06-07 13:29:25,text
5138973,2023-06-08 13:28:59,1,0,"思修10班签到了多少次啊？没去扣多少分啊？
周三202",2023-06-07 13:29:40,text
5138974,2023-06-08 13:28:59,2,2,在现音听到第二圆舞曲，梦回两年前的西音,2023-06-07 13:29:40,text
5138975,2023-06-08 13:28:59,1,2,政治课挂人吗,2023-06-07 13:30:14,text
5138976,2023-06-08 13:28:59,1,1,产业组织第二题怎么做啊😭,2023-06-07 13:30:20,text
5138977,2023-06-08 13:28:59,3,26,上课好无聊，有没有人来聊聊天啊,2023-06-07 13:30:24,text
5138978,2023-06-08 13:28:59,1,2,把阴谋论定义为不能证伪的言论，合理吗,2023-06-07 13:30:38,text
5138979,2023-06-08 13:28:59,0,0,老北京热干面好好吃，地道,2023-06-07 13:30:57,text
5138980,2023-06-08 13:28:59,1,0,这学期地概周三有讲震相相关内容吗,2023-06-07 13:31:04,text
5138981,2023-06-08 13:28:59,1,1,刚刚那个发咖喱饭的洞怎么没了😋,2023-06-07 13:31:36,text
5138982,2023-06-08 13:28:59,4,4,"期末咆哮洞
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊人不是只有保研这一条出路啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊但是我很难出国啊啊啊啊啊啊啊啊啊啊啊啊啊但是本科就业很糟糕啊啊啊啊啊啊啊啊啊",2023-06-07 13:31:42,text
5138983,2023-06-08 13:28:59,3,5,全元光滑里面有个推送打不开了,2023-06-07 13:32:13,text
5138984,2023-06-08 13:28:59,6,3,,2023-06-07 13:32:33,image
5138985,2023-06-08 13:28:59,6,17,有23fall去巴黎的留学的uu愿意建个群吗？,2023-06-07 13:32:36,text
5138986,2023-06-08 13:28:59,4,4,自从上了大学，心理承受能力越来越差，每天都要绷不住一遍，素质越来越低，越来越痛苦,2023-06-07 13:32:45,text
5138987,2023-06-08 13:28:59,2,4,就问大家，学校里哪里可以打印寸照呀，自己有电子版的，,2023-06-07 13:33:26,text
5138988,2023-06-08 13:28:59,1,0,【寻书寻人】请5月26号下午5点30图书馆借了《我讨厌的10种好人》这本书的同学速联系我：15115235760。可能是由于机器故障，当时我借完书后账号并没有登出，导致在我后面借这本书的同学是用我的账户借的。如果最后实在找不到我只能去调监控。,2023-06-07 13:33:47,image
5138989,2023-06-08 13:28:59,2,0,求助，苗旺老师概统最后一次作业什么时候交啊，他好像去出差了但是调课是怎么调的呀？,2023-06-07 13:35:06,text
5138990,2023-06-08 13:28:59,4,5,大家有没有那种上大学以后关系变淡的好朋友 我原来就有一个高中时候的好朋友 关系好得要穿一条裤子 最近见面之后越来越淡 感觉聊不到一块去 两个人成长后观念的不一致让我甚至觉得跟她一起聊天好烦,2023-06-07 13:35:38,text
5138991,2023-06-08 13:28:59,1,1,"#lovelive 抽卡 day12
今天是果果
5100307",2023-06-07 13:35:55,image
5138992,2023-06-08 13:28:59,3,15,"啊啊啊啊发现雅思口语陪练要到期了还没有用完orzzzz
不知道🕳️里有没有uu想要口语陪练的，可选老师较多，大部分是是菲教，但是口语很流利，也很有经验
7月4号到期，还剩19.4课时，语音是一课时25min（一般能谈到30min），视频的话是1.3课时25min，也就是说还有九个小时左右的菲教口语陪练！！！
现在300元出，可刀可刀！！救救孩子吧呜呜呜",2023-06-07 13:35:58,text
5138993,2023-06-08 13:28:59,1,0,坐标万柳，下午星冰乐买一赠一有人拼单吗TT,2023-06-07 13:36:22,text
5138994,2023-06-08 13:28:59,0,0,理教除了一楼的麦叔 其他层有商店吗,2023-06-07 13:36:45,text
5138995,2023-06-08 13:28:59,1,0,基础代数几何，考前&第五次作业咆哮洞,2023-06-07 13:36:56,text
5138996,2023-06-08 13:28:45,1,8,河南高考真的太难了，我一个朋友当年高考文科全省排名200+，只上了北外,2023-06-07 13:37:12,text
5138997,2023-06-08 13:28:45,2,0,问一下大家修贵校的数双的话，跨考数学专业研究生容易嘛,2023-06-07 13:37:31,text
5138998,2023-06-08 13:28:45,0,3,军训可以不穿白短袖吗，想买的一件速干衣没有白色的💔,2023-06-07 13:37:38,text
5138999,2023-06-08 13:28:45,3,2,全员光滑又来蹭了……一般,2023-06-07 13:37:53,text
5139000,2023-06-08 13:28:45,1,0,时间的仆人到底是想表达什么意思，理科生没看懂😢,2023-06-07 13:38:04,text
5139001,2023-06-08 13:28:45,3,2,现在还有什么办法能查到自己的高考成绩吗,2023-06-07 13:38:16,text
5139002,2023-06-08 13:28:45,3,5,猜身高,2023-06-07 13:39:14,image
5139003,2023-06-08 13:28:45,2,3,五四操场要翻修 考虑到燕南的翻修 并不抱有期待,2023-06-07 13:39:45,text
5139004,2023-06-08 13:28:45,21,13,"#暑期 #兼职（北京八方状元教育科技有限公司）
八方状元招募暑期游学营学霸导师辅导员，暑期游学营营期安排如下：
第一期2023年7月03日（周一）2023年7月08日（周六）

第二期2023年7月10日（周一）至2023年7月15日（周六）

第三期2023年7月17日（周一）至2023年7月22日（周六）

第四期2023年7月24日（周一）至2023年7月29日（周六）

第五期2023年7月31日（周一）至2023年8月05日（周六）

第六期2023年8月07日（周一）至2023年8月12日（周六）

第七期2023年8月14日（周一）至2023年8月19日（周六）

【学霸辅导员】主要负责除户外旅游景点游览外的行程陪同个班级营员管理，带领孩子完成当天游学学习和记录任务，酬金：出勤每天500左右（只高不低），根据出勤需求规划出勤时间原则上每天不超过6H；
【学习方法分享官】负责针对行程内的分享主题进行主题分享，（课件自己准备，提前过课），分享课时长1H，互动30min，分享课费用500-1000元/h（根据质量和时长）
以上两个岗位为游学营刚需岗位，有公开分享经验的同学可以同时担任，最小合作方式是按期合作，能跟多期的优先合作；

如果您对以上岗位需求有兴趣切有时间参与，请加洞内联系方式，验证信息发送【学校-姓名-岗位】，并发送您简历过来，期望与您长期合作，共同为中小学困惑的孩子指点迷津。
如果想了解更多信息，先咨询一下，也可以加洞内微信，验证信息发送【咨询暑期游学营】

常见问题：
1，薪资水平如何结算，算多少？
辅导员的薪资一周一结，一个营期3000元（6天五晚，其中周一到周五必须到，周六可以不参与，当然也可以参与）（打车费报销）
分享官的薪资一次一结，最低时薪500，一次1.5h—2h，最高可拿到1000的时薪（打车费报销）
2，参与基本流程是什么？
加上负责人联系方式之后，如果确定有参加的意向，发送简历以及想要参加哪一期或者哪几期的辅导员或者分享官，随后会安排面试时间，面试通过后会统一培训，培训完即可参加所选上的那一期夏令营
3，如果辅导员夏令营期间有急事要离开营地可不可以？
可以的，夏令营原则上必须时刻跟团，但若是事情紧急，可以申请离开营地，但必须安排好自己那个时间段的工作，并且会扣除那个时间段的薪资（这个打车费不予报销）另说明：每天夏令营大概晚上九点结束，辅导员可以选择回校，也可以选择留在营地，只要保证第二天能按时出勤即可，机构包食宿
4，请问工作具体内容是什么呢？


1.）按照游学营的日程安排，负责协助完成教学内容，帮助学员掌握日程内课程知识，全程跟进孩子的游历与学习情况，反馈给营长、家长;
2）.负责所带学员的营期生活管理，包括用餐礼仪、时间观念、按时作息，以及督促学员的学习和纪律管理，每天的日记写作与分享;
3.）与学员多沟通，与学员交朋友，负责学员每天的活动安排和辅导，总结评估相应学员的综合情况，配合完成营内的其他活动;
4.）结合教官强调安全问题，安全时刻记心中，让学员身体安全的同时更要心理安全;
5.）每日孩子照片的存储与群分享，家长群互动，孩子成长情况汇报等等

5，户外出勤的时间多吗？
每个班级两名辅导员，每次出去只需一位辅导员跟团出去即可，另一位可以在营地自习，做其它事情，这个由两位辅导员自己协商（当然两位都去也是可以的）
6，每天的工作时间怎么算呢？
每天7:00-21:00参营陪营，周一到周六上午
7，休息时间怎么算？
周六中午到周日休息
工作时间内休息：户外活动时两位辅导员自行排班一位跟团即可，另一位可在营地休息，其余营内课程时也只需要陪伴孩子即可，可以休息调整
8，其它：
食宿全包，每期开营和结营的打车费报销
营内成员：40人（每个班），配备两位辅导员，一位教官，两位助教，一位导游/志愿者
 若有其它问题欢迎咨询",2023-06-07 13:40:01,text
5139005,2023-06-08 13:28:45,1,0,"求问，出去参会前大家会去什么地方打印poster呀？
非常感谢！",2023-06-07 13:40:27,text
5139006,2023-06-08 13:28:45,2,12,nanpy会介意教很菜很菜的nvpy篮球吗555,2023-06-07 13:41:19,text
5139007,2023-06-08 13:28:45,6,6,"求问这题答案😭😭😭
地概 zkc 地震概论",2023-06-07 13:41:28,image
5139008,2023-06-08 13:28:45,1,0,柯南动画终于看完500集了,2023-06-07 13:41:31,text
5139009,2023-06-08 13:28:45,0,0,"5138932
请问这个的链接在哪呀",2023-06-07 13:41:40,text
5139010,2023-06-08 13:28:45,1,2,夏思源同学，你的身份证掉在家四一张桌子上了，给你放在找到桌子旁边的花盆里了,2023-06-07 13:41:50,image
5139011,2023-06-08 13:28:45,1,0,投资类的实习要求是不是挺高的？（dz小白 轻喷,2023-06-07 13:42:09,text
5139012,2023-06-08 13:28:45,1,1,碰到一个计算机学院的肌肉小哥哥黑色短袖胸肌快爆开了手臂好粗,2023-06-07 13:42:33,text
5139013,2023-06-08 13:28:45,6,2,哲系/哲学系19级毕业后去向都有哪里啊？,2023-06-07 13:42:38,text
5139014,2023-06-08 13:28:45,1,0,毕业要出去住租房的同学们现在都租好房子了吗？,2023-06-07 13:42:49,text
5139015,2023-06-08 13:28:45,2,6,捞捞问卷，感谢大噶，救救孩子😭https://www.wjx.cn/vm/PDV7QYl.aspx,2023-06-07 13:42:53,text
5139016,2023-06-08 13:28:45,8,11,"真的很怀念高考的日子，如今都快本科毕业了。
记得考生们排着队在考点学校的绿荫路上等着入场，那两天天气些许燥热、零星有雨。
考第一场语文的时候紧张到浑身发抖，考最后一场英语的时候从容轻松，出考场正好下着微雨，热而湿，家长给我准备了好多车厘子。
隐约记得有位坐在前面的女生考语文的时候提前交卷，坐在旁边的男生很帅但一脸阴郁，也不知道他们现在怎么样了..",2023-06-07 13:43:15,text
5139017,2023-06-08 13:28:45,1,3,求一位今天和明天帮忙办事的同学！需要到指定地方交几张表，盖几个章，报酬100r，具体会微信详细跟你说,2023-06-07 13:43:35,text
5139018,2023-06-08 13:28:45,0,0,鉴船洞怎么没了？dz还在吗,2023-06-07 13:43:41,text
5139019,2023-06-08 13:28:45,0,0,求问二教打印机能用了吗😢,2023-06-07 13:44:02,text
5139020,2023-06-08 13:28:30,4,6,"dz是一个超级喜欢表达爱意的女生，每天和男朋友说话都是宝贝我好爱你啊，宝贝你好帅啊，宝贝你好棒啊之类的。但男朋友不爱表达，而且还喜欢自闭和损我之类的。（比如说我市场品味不行、穿衣不行之类）

刚刚他发我微信感慨：我们中间一个喜欢甜言蜜语的听不到，一个对糖衣炮弹不太感冒的天天有，这真是一个不公平的世界啊。

我决定再也不喊他宝贝，也不再表达爱意。

现在开始，就喊他：学长、同志、同学。

每天就是：加油奋斗吧！好好努力！",2023-06-07 13:44:09,text
5139021,2023-06-08 13:28:30,1,0,求测评理论语言学,2023-06-07 13:44:26,text
5139022,2023-06-08 13:28:30,11,12,一学期挂11学分 是不是可以直接卷铺盖走人了,2023-06-07 13:44:54,text
5139023,2023-06-08 13:28:30,1,0,收两张连座 中间区域的造梦之家,2023-06-07 13:46:21,text
5139024,2023-06-08 13:28:30,2,0,"qwq有没有信科的学长学姐或者同级想做腾讯的那个ai比赛
dz能搬砖阿巴阿巴",2023-06-07 13:46:42,text
5139025,2023-06-08 13:28:30,1,5,zkc说没强调的重点不会考是可以相信的吧😉,2023-06-07 13:46:51,text
5139026,2023-06-08 13:28:30,1,0,很烦，企业入职报道时间是7月31号，这下连暑假都被砍半了呜呜,2023-06-07 13:46:57,text
5139027,2023-06-08 13:28:30,2,22,好似喵洞被删了？Alice呼叫dz,2023-06-07 13:47:39,text
5139028,2023-06-08 13:28:30,1,0,求信物下期末往年题🥺,2023-06-07 13:48:00,text
5139029,2023-06-08 13:28:30,0,9,"5138963
从这里就可以看出北本和非北本的不同了，北本同学早就对贵校教学质量失去信心了，非北本同学还抱有期待，然后在幻想破灭之后只能拉出本科学校踩一脚贵校来缓解这种落差感",2023-06-07 13:48:19,text
5139030,2023-06-08 13:28:30,1,0,状态很不好，刚刚自测了一下中度焦虑，又开始因为害怕自己得焦虑症而焦虑,2023-06-07 13:48:43,text
5139031,2023-06-08 13:28:30,2,0,原价出雁栖音乐节6.18票，390元，可以校内交易,2023-06-07 13:49:00,text
5139032,2023-06-08 13:28:30,5,5,"证出来是不存在？
tag：高数b，，高数，hy，sky，sms，wy",2023-06-07 13:49:01,image
5139033,2023-06-08 13:28:30,0,0,看到朋友圈很多人说想把高考数学题写一遍 我就想说 ，你们好闲，这么清闲的话，别逼我求你教我高数，我真求求你们了,2023-06-07 13:49:49,text
5139034,2023-06-08 13:28:30,0,1,"北大老师的孩子们都混的怎么样
均值比普通北京市民高嘛🤔️",2023-06-07 13:50:03,text
5139035,2023-06-08 13:28:30,1,2,请问下燕园泉水的电话是多少,2023-06-07 13:50:19,text
5139036,2023-06-08 13:28:30,1,0,gsm 推免线大概多少啊,2023-06-07 13:50:52,text
5139037,2023-06-08 13:28:30,1,5,在东北旅游的时候跟npy看到笨鸡蛋这个菜名觉得很有趣，后来逛街偶然看到餐馆贴的菜名有一个傻XX，当时觉得和笨鸡蛋简直对仗，但后来怎么也想不起来了，好遗憾,2023-06-07 13:51:20,text
5139038,2023-06-08 13:28:30,1,0,试图狂干论文到处找资料的时候，鼠标没电了……………………,2023-06-07 13:51:22,text
5139039,2023-06-08 13:28:30,2,0,"【行为实验招募】35分钟35元 
实验内容：反应时实验 
实验时长：35分钟左右 
报酬：35，完成认真有奖励，且可优先参与后续脑电实验（报酬更高）
被试要求：18-27周岁，右利手（俗称右撇子），无色盲色弱，视力或矫正视力正常，无神经及精神疾病（包括长期头痛、颅脑外伤）且未使用精神药物，非心理学专业相关（大一不限），可自主进校。 由于本实验对反应时间的采集较为精确，做美甲后指甲长的同学可日后再参加。 本实验持续招募，之前加过主试实验的同学就不能重复参加了。 
实验时间： 即日至周五。6月其他时间也可预约，具体时间段报名成功后与主试协商。 
实验地点：王克桢楼 
报名方式：扫码添加主试微信，备注姓名、年龄、性别",2023-06-07 13:51:24,image
5139040,2023-06-08 13:28:30,1,1,想把体育课放到大四下再选，会有风险吗,2023-06-07 13:52:36,text
5139041,2023-06-08 13:28:30,1,11,"5138963
我不明白，就一个很正常的吐槽而已，为什么都会吵起来，还互相人身攻击，戾气好大呀",2023-06-07 13:52:55,text
5139042,2023-06-08 13:28:30,2,5,高考阅卷报名通知出来了吗，dz至今没有收到,2023-06-07 13:53:26,text
5139043,2023-06-08 13:28:21,0,4,各位如何看待恋爱中的敏感心理,2023-06-07 13:53:49,text
5139044,2023-06-08 13:28:21,3,26,"#5113396
偷偷捞一下没人知道吧",2023-06-07 13:54:14,text
5139045,2023-06-08 13:28:21,1,0,"#5138309 浅浅一捞
明天上午尚有一些空位，上午有空的小伙伴们来嘛~",2023-06-07 13:54:25,text
5139046,2023-06-08 13:28:21,3,2,贵校邮箱有无手机app啊🤔️,2023-06-07 13:54:38,text
5139047,2023-06-08 13:28:21,1,1,😁😂😄😓😌😠😜😠,2023-06-07 13:54:46,text
5139048,2023-06-08 13:28:21,1,0,#5138758捞，大家快告诉我,2023-06-07 13:55:26,text
5139049,2023-06-08 13:28:21,1,1,我就是个傻 逼😅😅我这智商真不配在这里,2023-06-07 13:55:32,text
5139050,2023-06-08 13:28:21,1,0,真是疯了，这个军训安排，期末论文写不完一点儿,2023-06-07 13:55:35,text
5139051,2023-06-08 13:28:21,3,2,"求问洞友这题答案
地概",2023-06-07 13:55:48,image
5139052,2023-06-08 13:28:21,0,0,上头了上头了，怎么每天都要回顾几十遍聊天记录啊…,2023-06-07 13:56:00,text
5139053,2023-06-08 13:28:21,1,0,"为什么感觉文献公式里笔误好多啊,是我的问题吗,sigh,看个文献都要多方对比。。。",2023-06-07 13:56:28,text
5139054,2023-06-08 13:28:21,1,0,医学部你坏事做尽！！怎么还不出军训政策,2023-06-07 13:56:38,text
5139055,2023-06-08 13:28:21,1,3,"dz现在有对象，目前异地。
昨晚梦到了本科时候爱而不得的那个女孩子，梦里我和她在一起了。
这是不是有点不道德啊……",2023-06-07 13:56:38,text
5139056,2023-06-08 13:28:21,1,1,瑞幸还能不能干了，中午就没冰了！,2023-06-07 13:56:45,text
5139057,2023-06-08 13:28:21,1,0,想入富士拍立得mini相纸 最好是白边,2023-06-07 13:57:26,text
5139058,2023-06-08 13:28:21,1,0,读书报告看起来是读一本书，实际上是一万本书,2023-06-07 13:57:36,text
5139059,2023-06-08 13:28:21,3,3,"校内各单位、全体师生员工：

学校五四运动场即将进行整体翻修改造，施工期间需要对场地采取封闭措施并停止使用，场地施工预计2个半月，计划2023年6月10日星期六开始进场施工，开学前完工。请师生员工提前调整好运动场地的使用安排，由此给大家带来的不便请谅！

特此通知。

                   基建工程部

                                                 2023年6月7日",2023-06-07 13:57:41,text
5139060,2023-06-08 13:28:21,2,2,星星拍视频的承认是鸭脖了，局长也确定是鸭脖了，鉴定机构也说是鸭脖了。你们不要乱带节奏，内心的阴暗面出不去了，社会没那么多险恶。5毛一条，截图付款，记得把括号删掉​,2023-06-07 13:57:51,text
5139061,2023-06-08 13:28:21,3,7,参加强基计划的高三生，高考完需要来北大考试吗,2023-06-07 13:58:02,text
5139062,2023-06-08 13:28:21,4,9,高考已经是一生的梦魇了……六月ptsd发作,2023-06-07 13:58:11,text
5139063,2023-06-08 13:28:21,9,6,分享可爱的宝🥹,2023-06-07 13:58:42,image
5139064,2023-06-08 13:28:21,1,0,为什么家园这会儿这么多吃饭的人😧,2023-06-07 13:58:45,text
5139065,2023-06-08 13:28:21,1,3,"中史地 
最后一个大题问原因，问的是历史上按照这个顺序修运河的原因，还是解释自己这么排序的原因啊……dz写的是每条运河什么时候修通，刚刚突然意识到自己好像把题目意思理解错了😭",2023-06-07 13:59:25,text
5139066,2023-06-08 13:28:21,6,9,希望你永远不会懂这种痛苦,2023-06-07 13:59:28,image
5139067,2023-06-08 13:28:21,5,2,"#1865325
sms 数院",2023-06-07 13:59:40,text
5139068,2023-06-08 13:28:11,3,4,考高考前很抑郁，学校氛围很压抑很紧张，请假回家独自一人又很孤独，心中充满了不自信。高三是全面失败的一年，班主任也从高一高二的热情变得冷淡，前十几年承受的期望让我觉得自己是个小丑，精神上的脆弱和对应试教育的鄙视让我坚定不打算复读，人处在崩溃边缘，一边劝慰自己仅仅是一场考试不会决定人生，一边还是会认为高考可以很大程度上影响我的未来，在这种复杂的情绪和极大压力下熬完语文数学，晚上在酒店洗澡的时候还是忍不住哭了，终于要结束了吗？哭完感觉心情好多了，没有失眠。第二天匆忙写完理综，中午回到房间，看着带来的一箱子书籍试卷，只想付之一炬，下午还算轻松地做完英语，坐在车上的第一个想法是解放了,2023-06-07 13:59:42,text
5139069,2023-06-08 13:28:11,3,6,蹲个uu一起拼中免日上90ml安热沙防晒,2023-06-07 13:59:58,image
5139070,2023-06-08 13:28:11,2,1,国社上 lk 该怎么复习啊。。。看ppt发现看不懂了😭,2023-06-07 14:00:00,text
5139071,2023-06-08 13:28:11,3,2,为什么托马不会神里流枪法,2023-06-07 14:00:06,text
5139072,2023-06-08 13:28:11,1,1,220r 出一个switch pro手柄异度之刃2限定版，有意者留号,2023-06-07 14:00:07,text
5139073,2023-06-08 13:28:11,6,3,"出高数b往年三年的期末试题，PDF版。
q：2775849549",2023-06-07 14:00:16,text
5139074,2023-06-08 13:28:11,2,3,求友友们帮忙预约一个6.11（周日）的入校，有偿,2023-06-07 14:00:22,text
5139075,2023-06-08 13:28:11,4,2,求推荐家园有什么好喝的饮料！家二家三家四都行，本医学部人今天想尝尝ww,2023-06-07 14:01:12,text
5139076,2023-06-08 13:28:11,4,6,"强推达美乐的巧克力味儿那个披萨
好好吃，像吃甜品（尤其是刚拿出来的时候，芝士还会流出来啊啊啊",2023-06-07 14:01:28,text
5139077,2023-06-08 13:28:11,1,0,"捞
5124002",2023-06-07 14:01:34,text
5139078,2023-06-08 13:28:11,1,0,高口最后那个补交作业 如果平时的作业交上了但是显示逾期 需要再交一次吗？,2023-06-07 14:02:18,text
5139079,2023-06-08 13:28:11,1,0,xhy中微，作业绝对交了，但是助教那里却离谱的没有，为什么会丢失啊啊啊啊,2023-06-07 14:02:45,text
5139080,2023-06-08 13:28:11,1,2,有时候知道自己可能有偏见，但仍抑制不住地讨厌一个人，怎么办,2023-06-07 14:02:50,text
5139081,2023-06-08 13:28:11,1,2,中午的汉堡王套餐点多了，里面有一盒微辣的鸡条实在吃不完了，有朋友可以带走它吗，我还没拆封。,2023-06-07 14:03:15,text
5139082,2023-06-08 13:28:11,6,4,天上有块奇怪的云,2023-06-07 14:03:52,image
5139083,2023-06-08 13:28:11,4,5,推荐给给们几种中药方剂，我吃了半年，终于调理成直男了。效果显著,2023-06-07 14:03:53,text
5139084,2023-06-08 13:28:11,2,0,"求两位明天动物处理帮忙的友友
坐标医学部 9：00到14：00
主要负责解剖和分装
管午饭，劳务200
感兴趣联系wx：w18243942975",2023-06-07 14:04:02,text
5139085,2023-06-08 13:28:11,1,0,考得很烂，担心会挂科，绝望,2023-06-07 14:04:03,text
5139086,2023-06-08 13:28:11,1,1,家园门口这是在干嘛，在宿舍里被他们吵得仿佛自己在菜市场,2023-06-07 14:04:18,image
5139087,2023-06-08 13:28:11,1,0,地概都有哪些题型啊,2023-06-07 14:05:46,text
5139088,2023-06-08 13:28:11,2,2,朋友们，想找个老师进组混一下科研经历，最好是材料（物理)相关，请问有老师愿意接收跨院系的同学进组学习吗？或者是否有导师推荐，谢谢!,2023-06-07 14:06:01,text
5139089,2023-06-08 13:28:11,1,0,"680出一个mc11转接环（EF转E口），箱说数据线齐全，22年的、成色新，没用几次，有意留号。
#佳能 #索尼 #单反 #微单",2023-06-07 14:06:16,text
5139090,2023-06-08 13:28:11,2,3,"我爱我的性格。这是我成长路上一步步自我选择的结果。

我爱它好的部分，也爱它不好的部分。",2023-06-07 14:06:25,text
5139091,2023-06-08 13:28:11,0,4,大家能看的了录播吗？,2023-06-07 14:06:31,text
5139092,2023-06-08 13:28:11,2,1,请问有友友知道国际生转专业的要求和大陆生一样吗？有加拿大的朋友录取了社会学，但是想转经济，想问一下经院和社系有什么特殊的要求嘛🥺,2023-06-07 14:06:31,text
5139093,2023-06-08 13:27:56,1,0,电动车摔坏了 问下校内有能修的吗 或者大家有知道的维修师傅的联系方式吗…要价格合理一点的…,2023-06-07 14:06:43,text
5139094,2023-06-08 13:27:56,0,7,有单身帅哥玩树洞吗,2023-06-07 14:06:49,text
5139095,2023-06-08 13:27:56,3,4,预测一下今年全国乙卷数学难度和压轴题类型,2023-06-07 14:07:01,text
5139096,2023-06-08 13:27:56,2,3,求问暑假有木有大班课啊，dz现在缺软妹币呜呜呜，要去考语言申请啥的,2023-06-07 14:07:09,text
5139097,2023-06-08 13:27:56,4,10,大家为什么选择经营xhs而不是dy呢,2023-06-07 14:08:10,text
5139098,2023-06-08 13:27:56,0,0,请问现在还有哪里有素质学时的活动吗,2023-06-07 14:08:42,text
5139099,2023-06-08 13:27:56,2,0,这周六是有啥活动吗,2023-06-07 14:09:07,text
5139100,2023-06-08 13:27:56,7,20,核科学，好！,2023-06-07 14:09:13,text
