	cid	pid	text	name	time	comment_id	last_retrive
8511	25314125	5595937	我觉得别听洞友劝了，直接倒贴，等他玩腻了随手扔掉了再来洞里哭诉	Nathan	2023-10-27 02:16:03	nan	2023-10-27 02:16:28
8514	25314128	5595937	我支持dz	Susan	2023-10-27 02:16:15	nan	2023-10-27 02:16:28
8515	25314129	5595937	长得我真心觉得中偏上啊 但是他老问我是不是看上他是大帅哥	洞主	2023-10-27 02:16:15	25314106.0	2023-10-27 02:16:28
8519	25314133	5595937	何必太认真啊 各取所需	Susan	2023-10-27 02:16:25	nan	2023-10-27 02:17:54
8530	25314144	5595937	知道了 a老师觉得我需要断联吗 万圣节下周二还约了他出去玩 要不先玩完再说？	洞主	2023-10-27 02:17:03	25314113.0	2023-10-27 02:17:54
8531	25314145	5595937	dz要不先睡吧 等明天脑子清醒点再看看评论 听听大家的建议	Richard	2023-10-27 02:17:14	nan	2023-10-27 02:17:54
8537	25314151	5595937	该玩玩 别听别人的 他们没资格对你指手画脚	Susan	2023-10-27 02:17:23	25314144.0	2023-10-27 02:17:54
8540	25314154	5595937	Follow your heart	Susan	2023-10-27 02:17:32	25314144.0	2023-10-27 02:17:54
8545	25314161	5595937	玩你麻痹，你脑子都不清醒成这样了还敢出去玩？我劝你先把脑子里的垃圾清空了，冷静想一想，你要是自愿当个lkd玩具送批给他然后被骗得半死那我也不拦着	Alice	2023-10-27 02:18:31	25314144.0	2023-10-27 02:19:20
8546	25314162	5595937	玩啊，最好再去一趟酒店，生米煮成熟饭了就不用纠结了	Nathan	2023-10-27 02:18:31	25314144.0	2023-10-27 02:19:20
8547	25314163	5595937	我觉得还是别follow了吧。。dz这种看着也不是yp的人，现在follow了将来肯定要后悔	Thomas	2023-10-27 02:18:32	25314154.0	2023-10-27 02:19:20
8551	25314167	5595937	😋得 别到时候来树洞哭自己当初为什么不听A君的话	Richard	2023-10-27 02:18:48	25314144.0	2023-10-27 02:19:20
8552	25314168	5595937	🤣🤣	Thomas	2023-10-27 02:18:58	25314161.0	2023-10-27 02:19:20
8559	25314175	5595937	怎么能这么会喷啊	Thomas	2023-10-27 02:20:05	25314161.0	2023-10-27 02:20:46
8563	25314179	5595937	你凭什么替别人预测别人的未来……？活在当下是一种天赋，不指手画脚尊重别人是另一种，希望你也有至少一个。	Susan	2023-10-27 02:20:57	25314163.0	2023-10-27 02:22:18
8567	25314183	5595937	你好凶啊 说真的 现实生活中从小到大都是小公主 没人这么骂我啊😭😭😭	洞主	2023-10-27 02:21:44	25314161.0	2023-10-27 02:22:18
8572	25314188	5595937	你别搅了好吗 乐子人也不是这样当的	Richard	2023-10-27 02:22:07	25314179.0	2023-10-27 02:22:18
8574	25314190	5595937	我怎么突然觉得你像是反串的	Alice	2023-10-27 02:22:26	25314183.0	2023-10-27 02:23:48
8576	25314192	5595937	如果dz觉得以后都谈不到比他帅的npy，那么睡一睡也未尝不可，否则快溜…	Uma	2023-10-27 02:22:29	nan	2023-10-27 02:23:48
8584	25314200	5595937	给是不可能给的 不以结婚为目的真的不可能给	洞主	2023-10-27 02:22:48	25314162.0	2023-10-27 02:23:48
8586	25314202	5595937	你就只看到了他的凶？🤣🤣 那我只能说活该你将来被骗	Richard	2023-10-27 02:22:56	25314183.0	2023-10-27 02:23:48
8589	25314206	5595937	🤣👉	Thomas	2023-10-27 02:23:14	25314179.0	2023-10-27 02:23:48
8591	25314208	5595937	草	Richard	2023-10-27 02:23:18	25314190.0	2023-10-27 02:23:48
8593	25314210	5595937	真别在这给自己塑造一种虚妄的“拯救者”形象了，你不是，也没有人需要你拯救，你更不配做这样的角色。你只是一个自大的躲在屏幕后试图影响别人来收获自己小小虚荣心和无聊成就感的路过网友罢了，你既不了解别人的情况，也不明白别人的性情、环境、内心所想，你是一个可悲的呼号者。	Susan	2023-10-27 02:23:35	25314161.0	2023-10-27 02:23:48
8597	25314214	5595937	我骂你是因为不忍心看着小逼崽子受骗，不然我会跟你浪费口舌？我等你出后续了看笑话不好吗？	Alice	2023-10-27 02:23:49	25314183.0	2023-10-27 02:25:20
8601	25314218	5595937	溜号vx看本美女好吧 其实我感觉会不会是我给人的感觉有问题 别人通常都觉得我很会玩	洞主	2023-10-27 02:24:11	25314190.0	2023-10-27 02:25:20
8602	25314219	5595937	你说得对，但是毫无卵用🤔	Alice	2023-10-27 02:24:17	25314210.0	2023-10-27 02:25:20
8603	25314220	5595937	那你是什么东西？	Richard	2023-10-27 02:24:19	25314210.0	2023-10-27 02:25:20
8604	25314221	5595937	看出来了乐子人就喜欢干两件事：逼良为娼 劝妓从良	Eve	2023-10-27 02:24:20	nan	2023-10-27 02:25:20
8606	25314223	5595937	我知道了 以后留个心眼	洞主	2023-10-27 02:24:28	25314202.0	2023-10-27 02:25:20
8608	25314225	5595937	100	Susan	2023-10-27 02:24:40	nan	2023-10-27 02:25:20
